epoch,train_loss,val_loss,mIoU,pixel_acc,iou_sky,iou_water,iou_bridge,iou_obstacle,iou_living_obs,iou_background,iou_self,lr,elapsed_s
1,0.48396,0.21158,0.45477,0.93228,0.94125,0.96232,0.00047,0.00539,0.0,0.66524,0.60875,9.755282581475769e-05,97.8
2,0.18609,0.13494,0.50626,0.95568,0.97435,0.97308,0.00011,0.00015,0.0,0.75662,0.8395,9.045084971874737e-05,96.9
3,0.11924,0.10479,0.5166,0.9587,0.97425,0.97902,0.06052,0.00264,0.0,0.77925,0.8205,7.938926261462366e-05,97.0
4,0.1088,0.08603,0.56,0.96216,0.98076,0.97857,0.30804,0.00814,0.0,0.7852,0.85927,6.545084971874737e-05,96.3
5,0.08276,0.07899,0.52591,0.96123,0.9813,0.97831,0.04765,0.00971,0.0,0.77837,0.886,4.9999999999999996e-05,96.9
6,0.07243,0.07493,0.58903,0.96269,0.97702,0.97532,0.31617,0.18871,0.0,0.79034,0.87568,3.454915028125263e-05,97.0
7,0.06087,0.06128,0.61371,0.96831,0.98333,0.98221,0.37986,0.23072,0.0,0.81369,0.90615,2.0610737385376345e-05,95.9
8,0.0524,0.06514,0.61448,0.96444,0.98416,0.97996,0.37991,0.26905,0.0,0.78658,0.90172,9.549150281252631e-06,96.9
9,0.05145,0.06101,0.62052,0.96859,0.98231,0.98154,0.36062,0.29322,0.0,0.81614,0.90978,2.447174185242323e-06,96.9
10,0.04832,0.05976,0.62361,0.9679,0.98388,0.98138,0.38575,0.29716,0.0,0.81243,0.90466,0.0,97.1
