epoch,train_loss,val_loss,mIoU,pixel_acc,iou_sky,iou_water,iou_bridge,iou_obstacle,iou_living_obs,iou_background,iou_self,lr,elapsed_s
1,0.51626,0.23381,0.38214,0.92275,0.95563,0.95403,1e-05,6e-05,0.0,0.64923,0.11599,9.755282581475769e-05,242.6
2,0.21152,0.14947,0.49689,0.95276,0.97082,0.97403,0.0,0.0,0.0,0.74455,0.78881,9.045084971874737e-05,244.2
3,0.14146,0.11863,0.50693,0.95573,0.96581,0.97948,0.0,0.0,0.0,0.74622,0.85699,7.938926261462366e-05,244.6
4,0.11435,0.10065,0.51052,0.95859,0.9787,0.97653,7e-05,0.0,0.0,0.77251,0.84585,6.545084971874737e-05,243.9
5,0.09569,0.08727,0.5134,0.96108,0.9794,0.98001,0.00134,9e-05,0.0,0.78597,0.84699,4.9999999999999996e-05,244.5
6,0.08444,0.08219,0.51475,0.96173,0.98127,0.98214,0.00651,0.00145,0.0,0.78738,0.84447,3.454915028125263e-05,244.5
7,0.07557,0.07245,0.55471,0.9652,0.98255,0.9824,0.23098,0.00975,0.0,0.80127,0.87599,2.0610737385376345e-05,244.5
8,0.0679,0.07115,0.55071,0.96539,0.98289,0.98207,0.18343,0.01243,0.0,0.79823,0.89588,9.549150281252631e-06,243.4
9,0.06283,0.06759,0.57438,0.96721,0.9833,0.98213,0.3099,0.0395,0.0,0.81067,0.89515,2.447174185242323e-06,243.8
10,0.06007,0.06761,0.57941,0.96728,0.98337,0.98168,0.32994,0.05876,0.0,0.81307,0.88903,0.0,244.8
