epoch,train_loss,val_loss,mIoU,pixel_acc,elapsed_s
1,1.1134,0.5794,0.3961,0.9265,362.6
2,0.4531,0.3266,0.4417,0.9416,374.1
3,0.27,0.2148,0.5135,0.9577,375.3
4,0.1887,0.1581,0.5258,0.9628,375.1
5,0.1479,0.1316,0.5857,0.9685,375.1
6,0.1323,0.1178,0.6036,0.9711,375.5
7,0.1137,0.126,0.5857,0.9658,375.2
8,0.1011,0.0996,0.6213,0.9727,374.1
9,0.0924,0.095,0.6167,0.9727,375.6
10,0.082,0.0833,0.6452,0.9752,375.3
11,0.0751,0.0802,0.6978,0.9793,375.7
12,0.0679,0.0763,0.7141,0.9806,375.4
13,0.0625,0.0727,0.728,0.9814,376.1
14,0.0579,0.0703,0.732,0.9821,374.6
15,0.0542,0.0706,0.7317,0.9821,375.7
16,0.0517,0.0669,0.7374,0.9827,375.7
17,0.0503,0.0665,0.7373,0.9827,375.2
18,0.0495,0.065,0.7388,0.9828,376.1
19,0.0483,0.0662,0.7368,0.9826,375.8
20,0.0484,0.065,0.7387,0.9828,375.6
