epoch,train_loss,val_loss,mIoU,pixel_acc,elapsed_s
1,1.1493,0.6262,0.3663,0.9145,377.0
2,0.4962,0.3562,0.4136,0.9311,375.0
3,0.3048,0.2428,0.5004,0.9543,374.5
4,0.2393,0.1944,0.5092,0.9568,374.9
5,0.1833,0.1467,0.5839,0.9665,375.7
6,0.153,0.1253,0.6039,0.9696,376.3
7,0.1386,0.1163,0.6088,0.9701,377.4
8,0.1257,0.1065,0.619,0.9708,377.1
9,0.1151,0.0977,0.6193,0.972,376.3
10,0.1131,0.0945,0.6238,0.9724,376.3
11,0.1006,0.0912,0.6243,0.9726,377.0
12,0.0939,0.0861,0.627,0.9736,377.2
13,0.0883,0.0816,0.6361,0.9745,377.3
14,0.0854,0.0828,0.6267,0.9738,378.1
15,0.0834,0.0778,0.6377,0.9748,377.8
16,0.0779,0.0768,0.6384,0.9751,377.4
17,0.0761,0.0768,0.6406,0.9753,377.7
18,0.0774,0.0742,0.6414,0.9755,377.0
19,0.0744,0.075,0.6409,0.9755,377.8
20,0.0739,0.0738,0.6428,0.9756,377.7
