epoch,train_loss,val_loss,mIoU,pixel_acc,elapsed_s
1,1.1076,0.5814,0.4305,0.9319,378.0
2,0.447,0.3102,0.5004,0.955,375.5
3,0.2517,0.2039,0.5327,0.9619,375.9
4,0.1755,0.1552,0.5799,0.9683,376.0
5,0.137,0.1254,0.6209,0.9719,376.9
6,0.1166,0.1127,0.6121,0.9717,376.2
7,0.1012,0.1072,0.6292,0.972,376.9
8,0.0873,0.095,0.6904,0.978,377.4
9,0.0766,0.086,0.7077,0.979,377.1
10,0.0672,0.0839,0.7097,0.9795,376.7
11,0.0584,0.0735,0.736,0.9822,376.7
12,0.0525,0.0719,0.7334,0.9822,377.1
13,0.0485,0.0697,0.738,0.9827,377.3
14,0.0457,0.069,0.7395,0.9829,376.6
15,0.0432,0.0694,0.74,0.983,376.9
16,0.0412,0.0676,0.7419,0.9832,376.8
17,0.0401,0.0679,0.7405,0.983,376.9
18,0.0393,0.0667,0.7425,0.9832,377.8
19,0.0384,0.0671,0.7424,0.9832,376.9
20,0.0381,0.0661,0.7438,0.9833,377.2
