epoch,train_loss,val_loss,mIoU,pixel_acc,iou_sky,iou_water,iou_bridge,iou_obstacle,iou_living_obs,iou_background,iou_self,lr,elapsed_s
1,0.61551,0.19122,0.48706,0.94627,0.95438,0.96536,0.00019,0.0,0.0,0.72386,0.76564,9.755282581475769e-05,81.0
2,0.20968,0.12574,0.5034,0.95161,0.97136,0.96593,0.00037,0.0,0.0,0.73066,0.8555,9.045084971874737e-05,87.7
3,0.15971,0.10087,0.51348,0.95846,0.98146,0.97531,0.04524,0.0,0.0,0.77465,0.81772,7.938926261462366e-05,87.7
4,0.11678,0.09599,0.51497,0.95424,0.96113,0.97966,0.04092,4e-05,0.0,0.73776,0.88527,6.545084971874737e-05,88.3
5,0.09994,0.10335,0.56089,0.95271,0.98053,0.95492,0.26767,0.12509,0.0,0.73026,0.86773,4.9999999999999996e-05,88.6
6,0.09718,0.06917,0.62627,0.96559,0.98116,0.97835,0.42044,0.3133,0.0,0.79802,0.89262,3.454915028125263e-05,88.6
7,0.07552,0.06699,0.61507,0.96816,0.98233,0.97863,0.34821,0.2662,0.0,0.81666,0.9135,2.0610737385376345e-05,88.2
8,0.06431,0.05851,0.64422,0.97101,0.98423,0.98183,0.44252,0.35725,0.0,0.82891,0.91482,9.549150281252631e-06,88.4
9,0.06042,0.05871,0.64521,0.9715,0.98452,0.9827,0.4496,0.35079,0.0,0.83033,0.91854,2.447174185242323e-06,88.4
10,0.05587,0.05851,0.64091,0.97135,0.98436,0.98268,0.41899,0.34989,0.0,0.83005,0.92039,0.0,88.5
