epoch,train_loss,val_loss,mIoU,pixel_acc,iou_sky,iou_water,iou_bridge,iou_obstacle,iou_living_obs,iou_background,iou_self,lr,elapsed_s
1,0.43167,0.18525,0.46633,0.94247,0.94173,0.97061,1e-05,0.0,0.0,0.72655,0.62538,9.755282581475769e-05,246.8
2,0.15527,0.12591,0.49759,0.95351,0.96884,0.96897,0.00027,0.0,0.0,0.76267,0.78238,9.045084971874737e-05,245.5
3,0.12624,0.10379,0.51356,0.95697,0.9706,0.97333,0.00747,1e-05,0.0,0.76893,0.87459,7.938926261462366e-05,246.6
4,0.10168,0.09074,0.52736,0.95992,0.97981,0.97453,0.10822,0.00316,0.0,0.78128,0.84451,6.545084971874737e-05,246.4
5,0.0796,0.07308,0.5572,0.96422,0.97961,0.9805,0.23446,0.02264,0.0,0.78918,0.89405,4.9999999999999996e-05,246.9
6,0.06824,0.0711,0.61155,0.9653,0.98063,0.97952,0.38226,0.25842,0.0,0.79945,0.8806,3.454915028125263e-05,246.5
7,0.06083,0.06533,0.62638,0.96605,0.98342,0.98139,0.41519,0.29712,0.0,0.79474,0.9128,2.0610737385376345e-05,245.5
8,0.05201,0.05909,0.63768,0.96844,0.98349,0.98248,0.43713,0.33858,0.0,0.80907,0.91305,9.549150281252631e-06,246.6
9,0.04759,0.0557,0.63922,0.97033,0.98414,0.9829,0.43301,0.33635,0.0,0.82332,0.91482,2.447174185242323e-06,245.8
10,0.0467,0.0557,0.64037,0.97061,0.98403,0.98261,0.42429,0.35076,0.0,0.82554,0.91537,0.0,246.9
